Atom Num Conju-All Ratio,AtomWt Conju-All Ratio,Atom_PEOE-Charge_Sum,Atom_LogP_Sum,Atom_MR_Sum,Atom_PEOE-Charge_Mean,Atom_LogP_Mean,Atom_MR_Mean,Atom_PEOE-Charge_Std,Atom_LogP_Std,Atom_MR_Std,Atom_PEOE-Charge_Max,Atom_LogP_Max,Atom_MR_Max,Atom_PEOE-Charge_Min,Atom_LogP_Min,Atom_MR_Min,Atom_PEOE-Charge_Delta,Atom_LogP_Delta,Atom_MR_Delta
0.842105263,0.84300588,3.61E-16,2.9808,71.6365,1.20E-17,0.09936,2.387883333,0.15830027,0.22833533,1.48345539,0.354221034,0.6895,5.853,-0.464355817,-0.3239,0.2215,0.81857685,1.0134,5.6315
0.714285714,0.711562801,8.33E-17,3.2048,78.6015,2.25E-18,0.086616216,2.124364865,0.14246009,0.179877074,1.275940557,0.354175435,0.6895,5.853,-0.464356343,-0.3239,0.2215,0.818531778,1.0134,5.6315
0.789473684,0.777797638,-2.22E-16,2.7175,71.2435,-6.73E-18,0.082348485,2.158893939,0.151013823,0.190072804,1.315999354,0.354164623,0.6895,5.853,-0.46435647,-0.3239,0.2215,0.818521093,1.0134,5.6315
0.681818182,0.676089469,0,3.7437,85.0245,0,0.089135714,2.024392857,0.134954478,0.170056111,1.234314566,0.354164625,0.6895,5.853,-0.46435647,-0.3239,0.2215,0.818521094,1.0134,5.6315
0.833333333,0.818859616,4.72E-16,2.3274,66.6265,1.57E-17,0.07758,2.220883333,0.1567934,0.198696808,1.347703749,0.3388744,0.6895,5.853,-0.465392432,-0.3239,0.2215,0.804266832,1.0134,5.6315
0.863636364,0.84487037,2.08E-16,2.8756,81.9275,5.95E-18,0.08216,2.340785714,0.151929109,0.203427022,1.369547461,0.338923593,0.6895,5.853,-0.465391877,-0.3239,0.2215,0.80431547,1.0134,5.6315
0.727272727,0.717412855,2.64E-16,3.8878,85.1437,6.43E-18,0.09482439,2.07667561,0.145916297,0.21417792,1.26179635,0.411659596,0.6895,5.853,-0.443598498,-0.5188,0.389,0.855258094,1.2083,5.464
0.714285714,0.711104418,-1.39E-16,2.8911,78.2505,-3.65E-18,0.076081579,2.059223684,0.137676935,0.189425841,1.248267118,0.341339131,0.6895,5.853,-0.456302853,-0.3239,0.2215,0.797641984,1.0134,5.6315
0.9,0.881469278,-9.71E-17,2.4872,72.399,-3.24E-18,0.082906667,2.4133,0.137540023,0.201060974,1.459856338,0.261606242,0.6895,5.853,-0.2685708,-0.3239,0.2215,0.530177042,1.0134,5.6315
0.611111111,0.584983719,5.55E-17,2.6892,68.2368,1.54E-18,0.0747,1.895466667,0.134704057,0.135347228,1.238773605,0.306696225,0.298,5.007,-0.481018468,-0.2893,0,0.787714693,0.5873,5.007
0.611111111,0.584983719,5.55E-17,2.6892,68.2368,1.54E-18,0.0747,1.895466667,0.134704057,0.135347228,1.238773605,0.306696225,0.298,5.007,-0.481018468,-0.2893,0,0.787714693,0.5873,5.007
